Comment,Designator,Footprint,LCSC Part #
10u,"C1,C5,C19",C_0805_2012Metric,C15850
100n,"C2,C8,C11,C12,C13,C14,C15,C16,C17,C18,C20,C21",C_0402_1005Metric,C1525
15p,"C3,C4",C_0402_1005Metric,C1548
4.7u,"C6,C7,C9,C10",C_0402_1005Metric,C23733
USB_B_Micro,J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C428495
Conn_02x26_Odd_Even,"J2,J3",PinHeader_2x26_P2.54mm_Vertical,C725898
SM03B-SRSS-TB,J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403
3.3u,L1,L_pol_2016,C42411119
1k,"R2,R4,R6",R_0402_1005Metric,C11702
33,R3,R_0402_1005Metric,C25105
27,"R7,R8",R_0402_1005Metric,C25100
0,R10,R_0402_1005Metric,C17168
SW_Push,"SW1,SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C139797
RP2350_80QFN,U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C9900208890
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C26537
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,C97521
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
